Timestamp,MagX,MagY,MagZ,dMagX,dMagY,PWM_X,PWM_Y,CurrXPos,CurrXNeg,CurrYPos,CurrYNeg
14796271,0.0285,-0.3149,-18.8289,37.3478,-1.9237,-41.34,46.01,0.1344,-0.1280,-0.2333,0.3538
14815441,-0.0429,-0.3047,-18.8303,2.8453,11.6566,3.17,31.00,-0.1796,0.1839,-0.3237,0.4376
14834611,0.0341,-0.3320,-19.0651,41.2364,-20.7852,-46.01,67.26,0.1817,-0.1645,-0.0376,0.1086
14853780,-0.0766,-0.3822,-19.2910,8.0406,-19.5896,2.68,73.10,-0.1108,0.1366,-0.2806,0.3946
14872950,-0.0758,-0.4402,-19.1549,-17.5330,-23.2109,28.14,84.83,0.0828,-0.0505,-0.5086,0.6634
14892119,-0.0273,-0.3108,-19.0271,7.7063,-15.7349,-3.88,59.25,0.0011,0.0333,-0.4355,0.5301
14911288,-0.1108,-0.3097,-18.9222,-47.4447,8.1934,62.96,35.16,-0.2312,0.2720,-0.3903,0.4720
14930459,-0.0666,-0.0145,-17.9400,23.5214,137.5491,-14.20,-135.52,-0.2914,0.3344,0.5172,0.1774
14949629,-0.0699,-0.3725,-19.0755,35.1860,-22.9055,-25.41,75.06,-0.0978,0.1301,-0.2419,0.3624
14968798,-0.1313,-0.4015,-19.2344,-57.5940,-13.9510,75.98,70.16,0.0075,0.0570,-0.3624,0.4871
14987968,0.0157,-0.3980,-19.0402,6.3912,6.0200,-8.59,49.70,-0.1086,0.1495,-0.2871,0.4269
15007138,-0.0115,-0.3475,-18.9083,-37.2747,-12.7004,38.89,61.35,0.1860,-0.1559,-0.3645,0.4828
15026308,-0.0564,-0.0485,-18.8013,-0.1970,11.6834,8.09,-4.89,0.0656,-0.0548,0.6656,-0.6505
15045478,-0.0969,-0.4563,-19.1003,3.9777,-8.0059,9.59,71.89,0.0097,-0.0011,-0.5925,0.7409
15064648,-0.0285,-0.4404,-19.3188,-7.0165,-0.4207,11.00,62.07,0.1280,-0.1108,-0.3323,0.4462
15083817,-0.0128,-0.2757,-19.2484,7.6378,27.3183,-5.85,11.28,-0.2398,0.2398,0.0054,0.0011
15102987,0.0652,-0.1895,-19.0623,-0.8451,7.9963,-8.29,18.54,0.2355,-0.2204,-0.0032,0.0054
15122157,-0.0589,-0.3188,-18.9278,4.5702,-0.2572,3.68,44.89,-0.0849,0.0978,-0.2935,0.4011
15141326,-0.0429,-0.4056,-19.0002,3.6341,9.8636,2.37,46.92,0.1172,-0.0957,-0.3194,0.4462
15160496,0.0903,-0.2529,-19.1914,25.8207,35.3462,-38.46,0.06,0.0054,0.0161,-0.1710,0.2161
15179665,-0.0658,-0.3614,-19.2428,-18.7412,-8.2640,27.95,58.86,0.0118,0.0355,-0.3409,0.4763
15198835,-0.0136,-0.2883,-19.3445,-15.5658,-6.5889,17.46,46.95,-0.0032,0.0054,-0.2634,0.2183
15218005,0.1069,-0.3353,-19.0692,-2.1319,24.3563,-12.84,22.59,0.1774,-0.1473,-0.4892,0.6398
15237174,-0.0299,-0.4384,-18.8028,-8.1837,-18.7452,12.37,80.12,-0.1753,0.1903,-0.3043,0.4269
15256344,-0.1029,-0.3451,-18.8521,-33.2853,-9.3676,47.69,57.68,-0.0398,0.1108,-0.3344,0.4419
15275515,-0.1514,-0.3063,-19.0763,-6.8531,-13.7893,28.04,56.67,-0.1903,0.2333,-0.3344,0.4441
15294684,-0.1253,-0.3037,-19.2604,-36.7558,-1.6208,54.30,44.14,-0.1624,0.2140,-0.1860,0.2892
